Gene,albidoflavus_UYFA156,Sign
gmd,OKGGMJON_06032,+
group_6861,OKGGMJON_05839,-
murD,OKGGMJON_04913,+
group_6863,OKGGMJON_00761,-
yhdG_1,OKGGMJON_00904,-
group_6865,OKGGMJON_05018,+
group_6866,OKGGMJON_04090,+
group_6867,OKGGMJON_02448,-
clpP2_1,OKGGMJON_00399,-
cynR_2,OKGGMJON_03923,+
group_687,OKGGMJON_00818,+
menH_1,OKGGMJON_01790,-
proP_2,OKGGMJON_01928,+
msrB,OKGGMJON_00878,-
group_6873,OKGGMJON_03083,+
yceI_1,OKGGMJON_03201,-
group_6875,OKGGMJON_05016,+
group_6876,OKGGMJON_00881,-
mqnC,OKGGMJON_03751,+
group_6878,OKGGMJON_02987,+
group_6879,OKGGMJON_01471,-
group_688,OKGGMJON_00832,+
mlc_2,OKGGMJON_05775,-
group_6881,OKGGMJON_02876,-
group_6882,OKGGMJON_00513,+
fumC,OKGGMJON_04230,-
group_6884,OKGGMJON_04775,-
mutB,OKGGMJON_04776,-
group_6886,OKGGMJON_00549,-
gsiD_3,OKGGMJON_01285,-
moaA2_2,OKGGMJON_05126,+
pafB,OKGGMJON_05324,+
group_689,OKGGMJON_00834,+
group_6890,OKGGMJON_05632,-
pheS,OKGGMJON_05372,+
group_6892,OKGGMJON_01253,-
ssgB_1,OKGGMJON_00479,+
nagZ_2,OKGGMJON_01724,-
group_6895,OKGGMJON_04068,+
ribH,OKGGMJON_05568,+
uvrD1,OKGGMJON_03972,+
argB,OKGGMJON_05427,+
group_6899,OKGGMJON_01275,-
group_690,OKGGMJON_00835,-
group_6900,OKGGMJON_01793,+
group_6901,OKGGMJON_04218,+
group_6902,OKGGMJON_01993,-
rplO,OKGGMJON_03871,+
group_6904,OKGGMJON_04640,+
argR,OKGGMJON_05429,+
katA_1,OKGGMJON_02095,-
group_6907,OKGGMJON_02994,+
tmpC,OKGGMJON_04087,+
gshA_2,OKGGMJON_05634,+
fpg1,OKGGMJON_01362,-
group_6911,OKGGMJON_00475,-
clpB,OKGGMJON_02939,-
group_6913,OKGGMJON_01017,+
nuoG,OKGGMJON_03764,+
group_6915,OKGGMJON_05208,+
group_6916,OKGGMJON_05247,+
group_6917,OKGGMJON_05143,+
mmgC_3,OKGGMJON_04300,-
pccB,OKGGMJON_01409,-
group_692,OKGGMJON_00839,+
group_6920,OKGGMJON_01142,-
group_6921,OKGGMJON_03540,-
cytR_2,OKGGMJON_00540,-
group_6923,OKGGMJON_04801,-
macB,OKGGMJON_02657,-
iscS_2,OKGGMJON_04838,-
mec,OKGGMJON_01940,-
frcC,OKGGMJON_00716,-
group_6928,OKGGMJON_06063,+
group_6929,OKGGMJON_05616,-
cysNC,OKGGMJON_00848,+
group_6930,OKGGMJON_02367,-
group_6931,OKGGMJON_04576,+
group_6932,OKGGMJON_02507,+
frdB,OKGGMJON_05836,+
dprE2,OKGGMJON_04039,-
group_6935,OKGGMJON_05360,-
group_6936,OKGGMJON_05194,-
sir,OKGGMJON_00843,+
gloB_1,OKGGMJON_03402,+
xylH,OKGGMJON_02789,-
group_694,OKGGMJON_00849,+
agaA,OKGGMJON_02605,+
rho,OKGGMJON_01624,-
group_6942,OKGGMJON_00706,+
sasA_5,OKGGMJON_02115,-
group_6944,OKGGMJON_04101,-
dnaG,OKGGMJON_04579,-
group_6946,OKGGMJON_03256,-
gabD2,OKGGMJON_03936,+
group_6948,OKGGMJON_00726,-
lutR,OKGGMJON_03450,+
group_695,OKGGMJON_00859,+
gdh_1,OKGGMJON_02028,-
cytR_3,OKGGMJON_04751,-
dctA_2,OKGGMJON_03701,+
group_6953,OKGGMJON_03013,+
group_6954,OKGGMJON_02728,+
group_6955,OKGGMJON_05175,-
group_6956,OKGGMJON_02511,+
group_6957,OKGGMJON_01698,+
group_6958,OKGGMJON_05999,+
group_6959,OKGGMJON_03163,+
treY,OKGGMJON_00867,+
group_6960,OKGGMJON_03624,+
aldA,OKGGMJON_04118,-
nadE,OKGGMJON_04730,-
group_6963,OKGGMJON_06110,+
qcrC,OKGGMJON_04845,+
rtcB,OKGGMJON_03670,+
group_6966,OKGGMJON_04575,+
ybaK,OKGGMJON_04941,-
group_6968,OKGGMJON_00332,+
argD,OKGGMJON_05428,+
nagF,OKGGMJON_01933,-
group_6971,OKGGMJON_04958,+
group_6972,OKGGMJON_00965,-
egtD,OKGGMJON_05841,-
group_6974,OKGGMJON_05322,+
rhlE_2,OKGGMJON_01226,+
gapN,OKGGMJON_01295,-
scpB,OKGGMJON_05183,+
group_6978,OKGGMJON_04435,+
glmU,OKGGMJON_02231,+
group_698,OKGGMJON_00869,+
glbO,OKGGMJON_04370,-
menG,OKGGMJON_03754,+
group_6982,OKGGMJON_03203,-
cbiET,OKGGMJON_05454,+
pgdA,OKGGMJON_01061,+
rodZ,OKGGMJON_01238,-
group_6986,OKGGMJON_02111,-
group_6987,OKGGMJON_02877,+
rbsC_3,OKGGMJON_01056,-
ndhI_1,OKGGMJON_03766,+
group_699,OKGGMJON_00870,-
lcfB_3,OKGGMJON_06082,+
group_6991,OKGGMJON_00586,-
group_6992,OKGGMJON_01472,-
cca,OKGGMJON_03115,+
ulaR,OKGGMJON_04125,+
group_6995,OKGGMJON_03479,+
actP,OKGGMJON_05819,+
metY,OKGGMJON_01015,-
soxR,OKGGMJON_05251,+
group_6999,OKGGMJON_00860,-
group_7,OKGGMJON_02634,+
group_700,OKGGMJON_00874,-
group_7000,OKGGMJON_00885,+
group_7001,OKGGMJON_05256,-
group_7002,OKGGMJON_00404,+
icmF,OKGGMJON_03978,+
group_7004,OKGGMJON_02649,-
group_7005,OKGGMJON_01192,+
group_7006,OKGGMJON_04642,+
group_7007,OKGGMJON_04711,-
group_7008,OKGGMJON_00268,-
group_7009,OKGGMJON_04342,+
group_701,OKGGMJON_00880,-
group_7010,OKGGMJON_01273,-
tatA_3,OKGGMJON_05328,+
hisH,OKGGMJON_04949,+
group_7013,OKGGMJON_00272,-
group_7014,OKGGMJON_00488,+
tatA_2,OKGGMJON_03676,-
btsS,OKGGMJON_05820,+
nagR_1,OKGGMJON_00718,-
cseB_2,OKGGMJON_03608,-
group_7019,OKGGMJON_04836,-
group_702,OKGGMJON_00883,-
tlyA,OKGGMJON_05166,+
ndkA,OKGGMJON_04432,+
aviRb_1,OKGGMJON_04352,-
rnd,OKGGMJON_00898,+
xylF,OKGGMJON_00908,-
group_7025,OKGGMJON_05636,+
iaaM,OKGGMJON_05555,+
thrS,OKGGMJON_05485,+
valS,OKGGMJON_04429,+
rutG,OKGGMJON_05559,-
argS,OKGGMJON_03664,-
yqjG,OKGGMJON_05754,+
fdhA_1,OKGGMJON_01066,+
nagC_3,OKGGMJON_04540,+
dppC,OKGGMJON_06005,+
ssuD,OKGGMJON_00329,+
yhfK,OKGGMJON_03810,-
dasR,OKGGMJON_01728,+
carB_1,OKGGMJON_04128,-
arfB,OKGGMJON_02613,-
yigZ,OKGGMJON_05690,+
group_7041,OKGGMJON_03762,+
pknD_1,OKGGMJON_02013,-
tam_4,OKGGMJON_01697,-
btuC_2,OKGGMJON_03484,+
group_7045,OKGGMJON_00512,+
zapE,OKGGMJON_00882,+
group_7047,OKGGMJON_04943,-
lyc,OKGGMJON_01513,+
group_7049,OKGGMJON_01761,-
group_705,OKGGMJON_00884,+
group_7050,OKGGMJON_01006,-
rcsC_1,OKGGMJON_01241,-
alpha-LP,OKGGMJON_05782,-
ptsH,OKGGMJON_00214,+
udk,OKGGMJON_04115,-
group_7055,OKGGMJON_01917,-
hdpA,OKGGMJON_01904,+
cysO_2,OKGGMJON_02582,-
copR_1,OKGGMJON_01567,-
yceD_4,OKGGMJON_04638,+
tap_2,OKGGMJON_00889,+
ftsY,OKGGMJON_01357,-
luxA,OKGGMJON_01595,+
moaC2,OKGGMJON_02297,-
group_7063,OKGGMJON_01229,+
group_7064,OKGGMJON_00229,-
group_7065,OKGGMJON_01936,-
devR_1,OKGGMJON_00996,+
group_7067,OKGGMJON_02301,-
ftsW,OKGGMJON_04914,+
acdA_1,OKGGMJON_00388,+
group_707,OKGGMJON_00892,+
dapE_2,OKGGMJON_01775,-
group_7071,OKGGMJON_00518,-
folD_1,OKGGMJON_03993,+
group_7073,OKGGMJON_04089,+
leuA,OKGGMJON_04515,+
chpE,OKGGMJON_05149,+
group_7076,OKGGMJON_01082,-
coaBC_3,OKGGMJON_05537,+
acsA_1,OKGGMJON_00774,-
group_7079,OKGGMJON_03742,+
group_708,OKGGMJON_00896,+
yhgF,OKGGMJON_00454,+
decR_2,OKGGMJON_03049,+
group_7082,OKGGMJON_04870,+
group_7083,OKGGMJON_04723,+
ppm1,OKGGMJON_05581,+
vdh,OKGGMJON_03250,-
ccpA_2,OKGGMJON_00258,+
group_709,OKGGMJON_00902,-
group_7090,OKGGMJON_05463,+
group_7091,OKGGMJON_04450,-
scoF_1,OKGGMJON_02683,-
ureG_2,OKGGMJON_05740,+
xseA,OKGGMJON_04243,-
group_7095,OKGGMJON_00418,-
rsmH,OKGGMJON_04907,+
group_7097,OKGGMJON_05280,+
group_7098,OKGGMJON_02932,-
group_7099,OKGGMJON_00617,-
group_710,OKGGMJON_00917,+
ectA_2,OKGGMJON_05087,-
group_7101,OKGGMJON_01616,-
group_7102,OKGGMJON_03186,+
desR_2,OKGGMJON_03585,+
bbsG,OKGGMJON_05265,-
polA,OKGGMJON_05000,+
dctA2,OKGGMJON_01539,-
group_7107,OKGGMJON_04196,+
group_7108,OKGGMJON_01467,-
group_7109,OKGGMJON_01196,-
group_7110,OKGGMJON_04466,+
group_7111,OKGGMJON_00611,-
group_7112,OKGGMJON_00441,-
group_7113,OKGGMJON_00654,+
group_7114,OKGGMJON_04311,-
glnM_2,OKGGMJON_01209,+
sigF_1,OKGGMJON_01638,-
group_7117,OKGGMJON_04104,-
narG,OKGGMJON_00578,+
group_7119,OKGGMJON_05499,+
group_712,OKGGMJON_00955,-
ppaT,OKGGMJON_05088,-
pgm,OKGGMJON_05750,-
group_7122,OKGGMJON_01551,+
apeX,OKGGMJON_00819,+
uvrA_1,OKGGMJON_03226,+
group_7125,OKGGMJON_01198,-
group_7126,OKGGMJON_00697,+
group_7127,OKGGMJON_03089,+
group_7128,OKGGMJON_05795,-
group_7129,OKGGMJON_00693,+
pncB1,OKGGMJON_01945,+
ssb2,OKGGMJON_03126,+
group_7132,OKGGMJON_05509,+
hutU,OKGGMJON_03475,-
group_7134,OKGGMJON_05061,+
sad,OKGGMJON_01636,-
group_7136,OKGGMJON_03335,+
group_7137,OKGGMJON_03508,+
bmr3_3,OKGGMJON_04741,+
lipM,OKGGMJON_00651,-
glcC,OKGGMJON_00988,-
group_7140,OKGGMJON_03331,+
group_7141,OKGGMJON_04932,-
group_7142,OKGGMJON_05577,-
pyrC,OKGGMJON_05528,+
fabH_2,OKGGMJON_04619,-
nanK_1,OKGGMJON_00247,-
group_7146,OKGGMJON_06072,-
mscL,OKGGMJON_02307,+
group_7148,OKGGMJON_01826,-
purN,OKGGMJON_03990,+
group_715,OKGGMJON_00995,+
group_7150,OKGGMJON_00976,-
gcl,OKGGMJON_00771,-
group_7152,OKGGMJON_01375,+
group_7153,OKGGMJON_00570,+
group_7154,OKGGMJON_01122,-
group_7155,OKGGMJON_00241,+
kdpD_2,OKGGMJON_01119,-
bpoC,OKGGMJON_03579,-
metH,OKGGMJON_05304,+
group_7159,OKGGMJON_05711,-
group_716,OKGGMJON_01007,+
group_7160,OKGGMJON_01834,+
lipB,OKGGMJON_04803,-
wecA,OKGGMJON_01617,-
group_7166,OKGGMJON_04655,-
lrpC_2,OKGGMJON_05701,-
group_7168,OKGGMJON_03748,+
group_7169,OKGGMJON_03744,+
menI,OKGGMJON_01024,-
rdlB_1,OKGGMJON_02336,-
group_7171,OKGGMJON_01148,-
group_7172,OKGGMJON_01943,-
group_7173,OKGGMJON_04728,+
aroK,OKGGMJON_05519,+
pxpA,OKGGMJON_05950,+
group_7176,OKGGMJON_05465,+
group_7177,OKGGMJON_04443,+
suhB,OKGGMJON_01132,-
efp,OKGGMJON_05523,+
group_718,OKGGMJON_01029,-
nfdA_2,OKGGMJON_05580,+
rpmG2_3,OKGGMJON_05871,-
trpE,OKGGMJON_04957,+
group_7183,OKGGMJON_04452,+
group_7184,OKGGMJON_03323,-
group_7185,OKGGMJON_03649,-
egtB_3,OKGGMJON_05843,-
group_7187,OKGGMJON_03132,+
carA,OKGGMJON_05530,+
acdA_3,OKGGMJON_05576,+
metE,OKGGMJON_01034,-
mrdB,OKGGMJON_04437,+
group_7191,OKGGMJON_06095,+
group_7192,OKGGMJON_04860,+
araG_1,OKGGMJON_00559,-
proA_2,OKGGMJON_04453,+
group_7195,OKGGMJON_04227,-
livF_2,OKGGMJON_04992,-
group_7197,OKGGMJON_02702,+
group_7198,OKGGMJON_04680,+
nmoA,OKGGMJON_04488,+
group_720,OKGGMJON_01045,-
group_7200,OKGGMJON_01336,-
pknD_6,OKGGMJON_03038,+
lvr_1,OKGGMJON_01121,-
group_7203,OKGGMJON_05277,+
group_7204,OKGGMJON_05112,+
group_7205,OKGGMJON_00415,-
group_7206,OKGGMJON_03032,+
group_7207,OKGGMJON_04324,-
group_7208,OKGGMJON_02147,+
limB,OKGGMJON_01880,-
pucD_3,OKGGMJON_05915,-
group_7211,OKGGMJON_03597,+
group_7212,OKGGMJON_00412,-
nadB,OKGGMJON_03596,+
group_7214,OKGGMJON_01803,-
group_7215,OKGGMJON_00426,+
fbiA,OKGGMJON_02072,+
group_7217,OKGGMJON_03062,+
group_7218,OKGGMJON_05733,-
ytrE_1,OKGGMJON_01120,-
rcdA_1,OKGGMJON_01050,-
group_7220,OKGGMJON_01456,-
ghrA_1,OKGGMJON_01883,+
recG,OKGGMJON_01369,-
group_7223,OKGGMJON_03524,+
group_7224,OKGGMJON_03124,-
glpQ1,OKGGMJON_03181,-
purM,OKGGMJON_03248,+
group_7227,OKGGMJON_03030,+
iucC_2,OKGGMJON_04284,-
group_7229,OKGGMJON_04479,+
group_723,OKGGMJON_01052,-
group_7230,OKGGMJON_04343,-
group_7231,OKGGMJON_05919,-
group_7235,OKGGMJON_00259,-
group_7236,OKGGMJON_04130,-
group_7237,OKGGMJON_05504,-
group_7238,OKGGMJON_04613,-
group_7239,OKGGMJON_05505,-
nagC_2,OKGGMJON_01058,+
radA_2,OKGGMJON_03616,-
ygiC,OKGGMJON_04023,+
group_7242,OKGGMJON_05089,+
group_7243,OKGGMJON_02903,-
group_7244,OKGGMJON_04214,+
cseC,OKGGMJON_03607,-
group_7246,OKGGMJON_05628,+
group_7247,OKGGMJON_02148,-
group_7248,OKGGMJON_01322,-
priA_2,OKGGMJON_05539,+
livF_3,OKGGMJON_06067,-
group_7251,OKGGMJON_01759,+
yidC_2,OKGGMJON_03102,+
ndhS,OKGGMJON_00784,-
treZ,OKGGMJON_00871,+
group_7255,OKGGMJON_05033,-
group_7256,OKGGMJON_05030,+
rsbV_1,OKGGMJON_02121,-
pyrD,OKGGMJON_05532,+
mmr,OKGGMJON_02719,+
group_7260,OKGGMJON_00492,+
cdhR_4,OKGGMJON_03890,+
group_7262,OKGGMJON_05447,-
shc,OKGGMJON_00432,-
group_7264,OKGGMJON_00655,-
ftsQ,OKGGMJON_04916,+
dhpH_2,OKGGMJON_06066,+
gabP_2,OKGGMJON_04411,-
ddl_1,OKGGMJON_01377,-
group_7269,OKGGMJON_03418,+
group_7270,OKGGMJON_02467,+
group_7271,OKGGMJON_01594,-
dinG_1,OKGGMJON_00864,-
group_7273,OKGGMJON_01177,-
hflX,OKGGMJON_01194,-
lysS,OKGGMJON_03665,+
glpQ_3,OKGGMJON_05443,+
group_7277,OKGGMJON_04948,+
galK,OKGGMJON_02246,-
tatC,OKGGMJON_05329,+
nth,OKGGMJON_03404,+
group_7281,OKGGMJON_03002,-
group_7282,OKGGMJON_02579,+
group_7283,OKGGMJON_05488,-
group_7284,OKGGMJON_01709,-
pth,OKGGMJON_02237,+
RBKS,OKGGMJON_04504,+
nsrR,OKGGMJON_01710,+
yliI,OKGGMJON_00318,+
group_7289,OKGGMJON_00725,+
group_729,OKGGMJON_01089,+
pimA,OKGGMJON_05491,+
cydB,OKGGMJON_03153,+
group_7292,OKGGMJON_04028,+
group_7293,OKGGMJON_03169,-
group_7294,OKGGMJON_01222,-
group_7295,OKGGMJON_03111,-
pgl_2,OKGGMJON_05048,-
pgi,OKGGMJON_05047,+
group_7298,OKGGMJON_03551,-
group_7299,OKGGMJON_04431,+
group_730,OKGGMJON_01095,-
ynbC,OKGGMJON_01641,+
group_7301,OKGGMJON_05773,+
smtB_2,OKGGMJON_04967,-
group_7303,OKGGMJON_00956,-
cugP_1,OKGGMJON_02075,-
group_7305,OKGGMJON_00666,+
group_7306,OKGGMJON_01909,-
dasC_1,OKGGMJON_01104,+
ydjE_1,OKGGMJON_00533,+
group_7309,OKGGMJON_01733,-
gap2_1,OKGGMJON_01099,+
oppD_4,OKGGMJON_01849,-
decR_1,OKGGMJON_00991,+
rep_2,OKGGMJON_01777,-
srlR_1,OKGGMJON_00211,+
abgT,OKGGMJON_05128,-
hdfR_3,OKGGMJON_02002,-
adk,OKGGMJON_03873,+
group_7317,OKGGMJON_05346,-
group_7318,OKGGMJON_01953,-
nuoC,OKGGMJON_03760,+
group_7320,OKGGMJON_01001,+
deaD_2,OKGGMJON_02682,-
group_7322,OKGGMJON_03755,-
btuD_19,OKGGMJON_04339,+
iscS_1,OKGGMJON_01478,-
group_7325,OKGGMJON_05413,+
sigG,OKGGMJON_04095,-
bauC_2,OKGGMJON_04331,+
group_7328,OKGGMJON_05767,-
group_7329,OKGGMJON_04173,-
group_7330,OKGGMJON_04843,-
qcrA,OKGGMJON_04846,+
gcvP,OKGGMJON_05631,+
cmpB,OKGGMJON_00852,+
acsA_4,OKGGMJON_05613,+
yidD,OKGGMJON_03101,+
drdI,OKGGMJON_02044,-
group_7337,OKGGMJON_05336,+
araD,OKGGMJON_02801,+
nagB_1,OKGGMJON_01723,+
rlmCD,OKGGMJON_01112,-
kstR2_1,OKGGMJON_05249,+
rph,OKGGMJON_01932,-
group_7342,OKGGMJON_00483,-
ppx1,OKGGMJON_03622,+
tpiA,OKGGMJON_05044,+
ruvA,OKGGMJON_05497,+
group_7346,OKGGMJON_05622,+
group_7347,OKGGMJON_02242,+
group_7348,OKGGMJON_02751,-
group_7349,OKGGMJON_03815,+
gntR_1,OKGGMJON_01145,-
rpmG2_2,OKGGMJON_03814,+
group_7351,OKGGMJON_00850,+
yjcG,OKGGMJON_04034,+
group_7353,OKGGMJON_01149,-
murJ,OKGGMJON_03113,-
dxr,OKGGMJON_01292,-
group_7356,OKGGMJON_03011,+
dhaK,OKGGMJON_04792,+
gdh_2,OKGGMJON_02855,-
group_7359,OKGGMJON_05829,-
group_736,OKGGMJON_01146,-
group_7360,OKGGMJON_04121,-
group_7361,OKGGMJON_02056,-
group_7362,OKGGMJON_05476,+
group_7363,OKGGMJON_03757,-
ponA1,OKGGMJON_04225,+
group_7365,OKGGMJON_03397,-
lptB_2,OKGGMJON_04993,-
amaB,OKGGMJON_02125,-
group_7368,OKGGMJON_01918,+
group_7369,OKGGMJON_05255,+
group_7370,OKGGMJON_04759,-
srtE2,OKGGMJON_03068,-
rpmG2_1,OKGGMJON_01000,+
betI_9,OKGGMJON_03710,+
nphA2,OKGGMJON_02612,+
opuBB_2,OKGGMJON_05994,+
group_7376,OKGGMJON_03114,-
mdtD_3,OKGGMJON_03202,-
purH,OKGGMJON_03991,+
group_7379,OKGGMJON_00494,-
gyrB,OKGGMJON_01161,-
glmS_2,OKGGMJON_03888,+
group_7381,OKGGMJON_02681,-
group_7382,OKGGMJON_03554,-
folB,OKGGMJON_03553,-
group_7384,OKGGMJON_01140,-
group_7385,OKGGMJON_02731,-
yngG,OKGGMJON_04301,-
degA_1,OKGGMJON_01155,-
group_7388,OKGGMJON_00756,-
paaB_2,OKGGMJON_06079,-
dapH,OKGGMJON_05687,+
group_7391,OKGGMJON_01659,-
lacG_1,OKGGMJON_02129,-
gdx_2,OKGGMJON_01924,-
group_7394,OKGGMJON_03076,+
lacF_1,OKGGMJON_02130,-
group_7396,OKGGMJON_05114,+
tuaG,OKGGMJON_04067,+
group_7398,OKGGMJON_01090,+
ndhF,OKGGMJON_00785,-
group_74,OKGGMJON_02535,+
group_740,OKGGMJON_01170,-
hslR,OKGGMJON_05011,-
group_7401,OKGGMJON_01707,-
mkl,OKGGMJON_01087,-
yicL,OKGGMJON_05643,+
xylB_2,OKGGMJON_04574,+
pucK,OKGGMJON_00755,-
purR_1,OKGGMJON_00538,-
fepC_3,OKGGMJON_01003,-
liaR_4,OKGGMJON_02671,+
gdhIV_1,OKGGMJON_05115,-
rhlE_1,OKGGMJON_01171,+
rkpK,OKGGMJON_02101,+
mmgC_2,OKGGMJON_00469,-
group_7412,OKGGMJON_05054,+
group_7413,OKGGMJON_02966,-
group_7414,OKGGMJON_05490,+
group_7415,OKGGMJON_05487,+
galE_1,OKGGMJON_02027,+
group_7417,OKGGMJON_05185,+
group_7418,OKGGMJON_05130,+
group_7419,OKGGMJON_04746,-
yqiK,OKGGMJON_03001,-
group_7421,OKGGMJON_01731,+
sigK_1,OKGGMJON_02425,+
btuD_18,OKGGMJON_04317,+
group_7424,OKGGMJON_04538,-
group_7425,OKGGMJON_02640,-
group_7426,OKGGMJON_05596,+
yfeW_4,OKGGMJON_04709,+
gabD1_1,OKGGMJON_00474,+
group_7429,OKGGMJON_04937,+
group_743,OKGGMJON_01174,-
oppA_1,OKGGMJON_01852,-
pgsA2_1,OKGGMJON_05489,+
group_7432,OKGGMJON_05825,-
aceB_2,OKGGMJON_00734,+
group_7434,OKGGMJON_06008,+
group_7435,OKGGMJON_05431,+
drrB_1,OKGGMJON_02656,+
group_7437,OKGGMJON_05506,-
group_7438,OKGGMJON_01041,+
opuBB_1,OKGGMJON_03557,+
group_744,OKGGMJON_01176,-
group_7440,OKGGMJON_03398,-
cysD,OKGGMJON_00847,+
group_7442,OKGGMJON_05445,+
group_7443,OKGGMJON_03749,+
group_7444,OKGGMJON_03968,-
group_7445,OKGGMJON_03112,-
group_7446,OKGGMJON_03971,-
gap2_2,OKGGMJON_03891,+
group_7448,OKGGMJON_02016,+
group_7449,OKGGMJON_02010,+
egtB_1,OKGGMJON_01182,-
dasC_2,OKGGMJON_01152,-
group_7451,OKGGMJON_02703,-
ccr_2,OKGGMJON_06083,-
group_7453,OKGGMJON_03922,-
group_7454,OKGGMJON_05205,+
group_7455,OKGGMJON_05334,+
styA,OKGGMJON_01653,-
yfkM,OKGGMJON_00396,-
group_7458,OKGGMJON_04231,+
exoI,OKGGMJON_01983,-
dinG_2,OKGGMJON_01187,-
group_7460,OKGGMJON_05111,+
group_7461,OKGGMJON_03969,+
ptlF,OKGGMJON_05262,+
group_7463,OKGGMJON_03413,+
group_7464,OKGGMJON_05276,+
cobM,OKGGMJON_04785,-
rbsA,OKGGMJON_01057,-
group_7467,OKGGMJON_05124,+
group_7468,OKGGMJON_03672,-
group_7469,OKGGMJON_03288,+
group_7470,OKGGMJON_02997,+
group_7471,OKGGMJON_03680,+
btuD_20,OKGGMJON_04367,-
cimA,OKGGMJON_01430,-
opuCA_3,OKGGMJON_05996,-
group_7475,OKGGMJON_03264,-
group_7476,OKGGMJON_01694,+
tipA_2,OKGGMJON_03541,+
group_7478,OKGGMJON_05834,+
group_7479,OKGGMJON_02442,-
mhpA_1,OKGGMJON_01211,+
group_7480,OKGGMJON_04944,-
mngR,OKGGMJON_01867,-
group_7482,OKGGMJON_05761,-
ilvE_1,OKGGMJON_01435,-
trpD,OKGGMJON_04848,+
malL,OKGGMJON_04755,+
group_7486,OKGGMJON_02241,+
qacA_5,OKGGMJON_03561,+
btuD_7,OKGGMJON_01848,-
ncsB3_2,OKGGMJON_00962,-
group_749,OKGGMJON_01221,-
stp_1,OKGGMJON_02990,-
ureA_2,OKGGMJON_04552,-
potF,OKGGMJON_01306,-
araB,OKGGMJON_02799,+
pgk,OKGGMJON_05043,+
ctaC,OKGGMJON_04839,+
katA_2,OKGGMJON_04226,-
group_7497,OKGGMJON_02317,+
bcrA_3,OKGGMJON_03576,+
btuD_9,OKGGMJON_01920,-
group_750,OKGGMJON_01225,-
gdhIV,OKGGMJON_06106,+
pknB,OKGGMJON_03067,+
ihfB,OKGGMJON_01382,-
group_7503,OKGGMJON_01588,+
smtB_1,OKGGMJON_00470,-
btuE,OKGGMJON_00855,+
ndhD1,OKGGMJON_03803,+
rspR_2,OKGGMJON_03518,+
cbbY,OKGGMJON_04590,-
group_7509,OKGGMJON_00573,-
group_751,OKGGMJON_01230,+
fabG_7,OKGGMJON_06075,-
group_7511,OKGGMJON_01167,-
znuB,OKGGMJON_04520,-
bkdA,OKGGMJON_03048,-
yjhP_1,OKGGMJON_00787,+
fmt,OKGGMJON_05541,+
group_7516,OKGGMJON_05992,-
betI_10,OKGGMJON_04898,-
group_7518,OKGGMJON_02339,-
group_7519,OKGGMJON_04980,+
pgsA,OKGGMJON_01236,-
lspA,OKGGMJON_04925,+
oppD_3,OKGGMJON_01483,-
COQ5_6,OKGGMJON_05004,-
group_7523,OKGGMJON_06057,-
group_7524,OKGGMJON_01131,+
group_7525,OKGGMJON_04135,+
bioY2,OKGGMJON_04412,+
chtA_2,OKGGMJON_01606,+
nfo,OKGGMJON_04884,-
group_7529,OKGGMJON_06021,+
group_753,OKGGMJON_01278,+
fas3,OKGGMJON_00410,+
dapB,OKGGMJON_01254,-
group_7532,OKGGMJON_00380,-
hemC,OKGGMJON_03655,+
ectD,OKGGMJON_05084,-
cynT,OKGGMJON_02694,+
ruvC,OKGGMJON_05496,+
group_7537,OKGGMJON_05352,+
dppA_2,OKGGMJON_01260,+
nusA,OKGGMJON_01276,-
group_754,OKGGMJON_01284,-
ytfQ,OKGGMJON_00557,-
group_7541,OKGGMJON_02269,+
group_7542,OKGGMJON_05574,+
regX3_1,OKGGMJON_01206,-
mak,OKGGMJON_01531,+
group_7545,OKGGMJON_02951,-
group_7546,OKGGMJON_03321,+
group_7547,OKGGMJON_00275,+
nrdR,OKGGMJON_01184,-
group_7549,OKGGMJON_01125,-
group_755,OKGGMJON_01289,-
tmrB,OKGGMJON_02833,+
ppk,OKGGMJON_02815,+
sodF1,OKGGMJON_04409,-
pyrE,OKGGMJON_02928,-
group_7554,OKGGMJON_01994,-
mrpD,OKGGMJON_00958,-
ureB_2,OKGGMJON_05737,+
gntK,OKGGMJON_05279,-
bioB,OKGGMJON_05728,-
ureC_3,OKGGMJON_05738,+
group_756,OKGGMJON_01300,-
metN,OKGGMJON_05449,+
group_7561,OKGGMJON_00491,+
group_7562,OKGGMJON_04018,-
group_7563,OKGGMJON_05800,+
group_7564,OKGGMJON_02865,-
group_7565,OKGGMJON_05512,+
fadJ_2,OKGGMJON_00623,+
yajO_2,OKGGMJON_03278,+
puuB_2,OKGGMJON_02629,+
gabP_1,OKGGMJON_04410,-
puuB_1,OKGGMJON_01302,-
group_7570,OKGGMJON_03882,-
group_7571,OKGGMJON_01460,+
group_7572,OKGGMJON_03531,+
group_7573,OKGGMJON_01770,-
gloB_2,OKGGMJON_05772,+
dps_1,OKGGMJON_01233,-
group_7576,OKGGMJON_03642,+
group_7577,OKGGMJON_05071,-
glcK_2,OKGGMJON_02604,+
group_7579,OKGGMJON_04012,-
group_758,OKGGMJON_01309,-
group_7580,OKGGMJON_05080,+
group_7581,OKGGMJON_03646,+
group_7582,OKGGMJON_00240,+
group_7583,OKGGMJON_02532,-
otnC,OKGGMJON_05978,+
trkA_2,OKGGMJON_01115,+
hcaC,OKGGMJON_05744,-
deaD_4,OKGGMJON_04978,+
